times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.94, 0.0)|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
43.4|1.0|0.98|0.0|-164833.6994102711|-164833.68679781773|-164833.68679781773|-164833.64896045774
43.6|1.0|0.98|0.0|-164711.0538150783|-164710.53670449142|-164710.00698145115|-164709.43942105092
43.8|1.0|0.98|0.0|-164453.8622114045|-164453.7865366845|-164453.73608687115|-164453.60996233774
44.0|1.0|0.98|0.0|-164167.08863227983|-164166.78593339972|-164166.52107187957|-164166.18053563943
44.2|1.0|0.98|0.0|-164310.33230680763|-164309.8404211274|-164309.37376035386|-164308.84403731357
44.4|1.0|0.98|0.0|-164773.6559851089|-164772.91185036188|-164772.19294052155|-164771.41096841454
44.6|1.0|0.98|0.0|-164460.86706415637|-164460.2112165827|-164459.5932063691|-164458.89952143544
44.8|1.0|0.98|0.0|-164644.00466766508|-164643.73980614496|-164643.5253944382|-164643.23530801138
45.0|1.0|0.98|0.0|-164512.01224913422|-164511.48252609398|-164510.95280305372|-164510.37263020012
45.2|1.0|0.98|0.0|-164325.64878515597|-164325.40914854253|-164325.1821243824|-164324.90465040895
45.4|1.0|0.98|0.0|-164215.7061929168|-164215.06295779653|-164214.43233512956|-164213.7386501959
45.6|1.0|0.98|0.0|-164017.6342309859|-164017.48288154582|-164017.3441445591|-164017.14234530565
45.8|1.0|0.98|0.0|-163952.33956004877|-163952.1882106087|-163952.06208607534|-163951.8602868219
46.0|1.0|0.98|0.0|-164287.96059872714|-164287.45610059358|-164286.95160246|-164286.39665451308
46.2|1.0|0.98|0.0|-164644.06060630645|-164643.87141950635|-164643.68223270628|-164643.45520854616
46.4|1.0|0.98|0.0|-164505.72721808197|-164505.55064373525|-164505.37406938846|-164505.14704522837
46.6|1.0|0.98|0.0|-164327.79072637236|-164327.3871278655|-164326.996141812|-164326.5547059451
46.8|1.0|0.98|0.0|-164097.38898734972|-164097.21241300294|-164097.0610635629|-164096.88448921614
47.0|1.0|0.98|0.0|-164156.17748172372|-164155.76127076353|-164155.37028471|-164154.9162363898
47.2|1.0|0.98|0.0|-164043.85453440034|-164043.69057250692|-164043.53922306685|-164043.3248113601
47.4|1.0|0.98|0.0|-163898.59252898145|-163898.44117954138|-163898.30244255465|-163898.11325575458
47.6|1.0|0.98|0.0|-164073.4861002779|-164072.5780036375|-164071.66990699703|-164070.71136054327
