times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)|(1.0, 0.06, 0.0)
38.8|1.0|0.02|0.0|0|4.4427366887533575|8.885473377506715|13.328210066260072
39.0|1.0|0.02|0.0|0|3.73643930180755|7.4728786036151|11.20931790542265
39.2|1.0|0.02|0.0|0|4.693093887488358|9.386187774976715|14.079281662465073
39.4|1.0|0.02|0.0|0|4.679220188920736|9.358440377841472|14.037660566762206
39.6|1.0|0.02|0.0|0|4.562554995542741|9.125109991085482|13.687664986628224
39.8|1.0|0.02|0.0|0|4.405529951481731|8.811059902963462|13.216589854445191
40.0|1.0|0.02|0.0|0|4.934622369028512|9.869244738057024|14.803867107085534
40.2|1.0|0.02|0.0|0|4.566338731488795|9.13267746297759|13.699016194466385
40.4|1.0|0.02|0.0|0|4.0019314445281635|8.003862889056327|12.00579433358449
40.6|1.0|0.02|0.0|0|4.015805143240723|8.031610286481445|12.047415429722168
40.8|1.0|0.02|0.0|0|4.018958256596234|8.037916513192467|12.0568747697887
41.0|1.0|0.02|0.0|0|4.6180497902311615|9.236099580462323|13.854149370693484
41.2|1.0|0.02|0.0|0|4.495708992762957|8.991417985525914|13.48712697828887
41.4|1.0|0.02|0.0|0|4.278144172700705|8.55628834540141|12.834432518102112
41.6|1.0|0.02|0.0|0|4.320395891353837|8.640791782707675|12.961187674061511
41.8|1.0|0.02|0.0|0|4.182920150017017|8.365840300034034|12.548760450051049
42.0|1.0|0.02|0.0|0|4.775705456893775|9.55141091378755|14.327116370681324
42.2|1.0|0.02|0.0|0|4.753003040943295|9.50600608188659|14.259009122829884
42.4|1.0|0.02|0.0|0|4.448412292772555|8.89682458554511|13.345236878317664
42.6|1.0|0.02|0.0|0|4.782642306330963|9.565284612661927|14.347926918992888
42.8|1.0|0.02|0.0|0|4.909397462351481|9.818794924702962|14.728192387054442
43.0|1.0|0.02|0.0|0|4.742913078350248|9.485826156700496|14.228739235050742
43.2|1.0|0.02|0.0|0|3.9691390658699675|7.938278131739935|11.907417197609902
43.4|1.0|0.02|0.0|0|4.619311035556603|9.238622071113205|13.857933106669806
43.6|1.0|0.02|0.0|0|4.257964247339987|8.515928494679974|12.773892742019962
43.8|1.0|0.02|0.0|0|4.473006576806074|8.946013153612148|13.419019730418222
44.0|1.0|0.02|0.0|0|4.332377722063684|8.664755444127367|12.997133166191052
